"AREAKEY","GEO2000","TCH70_00","PCTCOV70","STATECD","STATECE","STUSAB","COUNCD","UCOUNTY","TRCTCD1","TRCTCD2","REGION","DIVIS","SHRNHW9","SHRNHB9","SHRNHI9","SHRNHA9","SHRNHO9","SHRHSP9","FFH9","EDUC169","EDUCPP9","UNEMPRT9","WELFARE9","MDFAMY9","AVHHIN9","MDVALHS9","SHRNHW0","SHRNHB0","SHRNHI0","SHRNHA0","SHRNHO0","SHRHSP0","FFH0","EDUC160","EDUCPP0","UNEMPRT0","WELFARE0","MDFAMY0","AVHHIN0","MDVALHS0"
"06037237710","06037237710","3","100.00","06","93","CA","037","06037","2377","10","4","9","0.00706252","0.51713314","0.000000","0.007586","0.000000","0.46821868","0.44958678","35","1811","0.18921032","0.35271687","8946","19802.877026","55569","0.023273","0.334084","0.000501","0.000000","0.000000","0.642142","0.502318","24","2001","0.137953","0.305699","23980","26924.525043","144800"
"06037237720","06037237720","3","100.00","06","93","CA","037","06037","2377","20","4","9","0.00697269","0.51714120","0.000000","0.007554","0.000000","0.46833236","0.45036765","31","1630","0.18923611","0.35381356","8054","19812.584746","50031","0.001446","0.218976","0.000289","0.000000","0.002025","0.777264","0.319697","107","1553","0.167521","0.272349","20568","34285.862786","138000"
"06037237800","06037237800","0","100.00","06","93","CA","037","06037","2378","","4","9","0.02909283","0.76117429","0.000000","0.004761","0.000000","0.20497223","0.48592871","184","2380","0.09903382","0.19520265","29722","32040.476427","108400","0.008300","0.637183","0.000000","0.008537","0.000000","0.345981","0.435435","259","2481","0.123427","0.194316","35741","37341.244240","139100"
"06037237900","06037237900","0","100.00","06","93","CA","037","06037","2379","","4","9","0.00801769","0.86425214","0.000000","0.009953","0.000000","0.11777716","0.45112782","305","2385","0.10574572","0.16495659","35398","37655.367798","130300","0.003675","0.818208","0.007068","0.003675","0.000000","0.167373","0.448940","337","2259","0.074516","0.209953","42604","45976.905132","156700"
"06037238000","06037238000","2","100.00","06","93","CA","037","06037","2380","","4","9","0.01282051","0.84759615","0.000000","0.006090","0.016827","0.11666667","0.36267606","457","3914","0.08912108","0.15208941","40317","41715.276482","134200","0.011551","0.860200","0.003397","0.005945","0.003058","0.115848","0.430429","560","3695","0.119787","0.214138","45823","54619.246646","157700"
"06037238100","06037238100","0","100.00","06","93","CA","037","06037","2381","","4","9","0.01967800","0.87567084","0.000000","0.001342","0.007156","0.09615385","0.65327381","235","2810","0.12570840","0.18843284","26592","26458.322761","131100","0.009597","0.819411","0.000000","0.001527","0.001091","0.168375","0.514286","269","2794","0.139868","0.195077","40307","47101.723077","159700"
"06037238200","06037238200","4","100.00","06","93","CA","037","06037","2382","","4","9","0.01182708","0.88417618","0.000000","0.011419","0.000000","0.09278140","0.52005944","303","3142","0.09338695","0.23633441","31417","32256.864952","124758","0.006676","0.810795","0.001526","0.006103","0.000000","0.174900","0.479361","386","3407","0.081390","0.271236","38730","36062.065637","145700"
"06037238310","06037238310","3","100.00","06","93","CA","037","06037","2383","10","4","9","0.00853404","0.44775270","0.000000","0.000000","0.010620","0.53309312","0.46733112","41","2480","0.24226534","0.30447126","7686","18463.867282","50198","0.006817","0.305245","0.000000","0.023102","0.000000","0.664836","0.393424","19","2418","0.144494","0.354348","14975","22360.289855","161300"
"06037238320","06037238320","3","100.00","06","93","CA","037","06037","2383","20","4","9","0.00846682","0.44782609","0.000000","0.000000","0.010526","0.53318078","0.46595461","34","2055","0.24177215","0.30479452","6369","18459.382705","41602","0.023256","0.351448","0.001187","0.026578","0.000000","0.597532","0.446589","41","1978","0.228479","0.436968","18116","21004.429302","138700"
"06037238400","06037238400","4","100.00","06","93","CA","037","06037","2384","","4","9","0.02636872","0.88446927","0.002458","0.009609","0.000000","0.07687151","0.32530120","443","2884","0.09433962","0.15612648","42815","39244.438735","129942","0.005048","0.879567","0.000721","0.001683","0.000000","0.112981","0.506130","395","2713","0.101058","0.182477","48399","45736.758893","158300"
"06037239200","06037239200","4","100.00","06","93","CA","037","06037","2392","","4","9","0.00601168","0.38560632","0.003263","0.000000","0.005153","0.59996565","0.35272277","68","2885","0.13826212","0.28328612","18640","23335.634561","99300","0.016239","0.224869","0.007423","0.004330","0.002474","0.744664","0.286154","113","3179","0.159550","0.233706","24742","30474.983542","142500"
"06037239310","06037239310","4","100.00","06","93","CA","037","06037","2393","10","4","9","0.00456621","0.43287671","0.000000","0.001370","0.000000","0.56073059","0.45308311","37","1070","0.23037975","0.24731183","4743","20011.928315","26311","0.005693","0.295256","0.000000","0.025806","0.000000","0.673245","0.287958","53","1322","0.273123","0.381599","18542","27741.628959","169900"
"06037239320","06037239320","4","100.00","06","93","CA","037","06037","2393","20","4","9","0.00482925","0.43256295","0.000000","0.001725","0.000000","0.56088306","0.45344130","49","1417","0.23040153","0.24763194","6279","20002.548038","34829","0.000000","0.227857","0.000000","0.000000","0.000000","0.772143","0.245648","56","1373","0.138444","0.351938","26897","31449.922481","164900"
"06037239330","06037239330","4","100.00","06","93","CA","037","06037","2393","30","4","9","0.00484457","0.43278159","0.000000","0.001615","0.000000","0.56075898","0.45260664","42","1210","0.23068309","0.24683544","5365","19984.713608","29760","0.005287","0.155589","0.003776","0.000000","0.000000","0.835347","0.303922","34","1206","0.102433","0.270358","29861","32673.778502","143100"
