Id,Id2,Geography,total,white,black,native,asian,nativeh,other,multi
8600000US89439,89439,"89439 5-Digit ZCTA, 894 3-Digit ZCTA",1215,1167,6,8,11,0,10,13
8600000US90001,90001,"90001 5-Digit ZCTA, 900 3-Digit ZCTA",54481,13422,7844,486,64,58,29850,2757
8600000US90002,90002,"90002 5-Digit ZCTA, 900 3-Digit ZCTA",44584,7401,16057,353,72,30,19040,1631
8600000US90003,90003,"90003 5-Digit ZCTA, 900 3-Digit ZCTA",58187,11248,18721,494,182,90,25183,2269
8600000US90004,90004,"90004 5-Digit ZCTA, 900 3-Digit ZCTA",67850,22898,2282,485,16233,57,21866,4029
8600000US90005,90005,"90005 5-Digit ZCTA, 900 3-Digit ZCTA",43014,11958,2207,414,12058,37,14219,2121
8600000US90006,90006,"90006 5-Digit ZCTA, 900 3-Digit ZCTA",62765,16892,2383,850,8725,59,30058,3798
8600000US90007,90007,"90007 5-Digit ZCTA, 900 3-Digit ZCTA",45021,14447,5765,387,4797,94,16942,2589
8600000US90008,90008,"90008 5-Digit ZCTA, 900 3-Digit ZCTA",30840,1887,24214,139,976,29,2468,1127
8600000US90010,90010,"90010 5-Digit ZCTA, 900 3-Digit ZCTA",1943,780,166,18,741,3,175,60
8600000US90011,90011,"90011 5-Digit ZCTA, 900 3-Digit ZCTA",101214,28280,13677,1270,482,68,52724,4713
8600000US90012,90012,"90012 5-Digit ZCTA, 900 3-Digit ZCTA",30577,6202,4985,139,11898,37,6637,679
8600000US90013,90013,"90013 5-Digit ZCTA, 900 3-Digit ZCTA",9727,2711,3682,132,1324,28,1405,445
8600000US90014,90014,"90014 5-Digit ZCTA, 900 3-Digit ZCTA",3518,868,1006,35,940,6,530,133
8600000US90015,90015,"90015 5-Digit ZCTA, 900 3-Digit ZCTA",15134,4485,728,214,1432,6,7430,839
8600000US90016,90016,"90016 5-Digit ZCTA, 900 3-Digit ZCTA",46968,8624,22512,325,1534,74,11664,2235
8600000US90017,90017,"90017 5-Digit ZCTA, 900 3-Digit ZCTA",20689,6284,850,464,1178,30,10565,1318
8600000US90018,90018,"90018 5-Digit ZCTA, 900 3-Digit ZCTA",47127,7538,20510,343,1425,76,14935,2300
8600000US90019,90019,"90019 5-Digit ZCTA, 900 3-Digit ZCTA",67510,15428,21845,571,8582,80,17659,3345
8600000US90020,90020,"90020 5-Digit ZCTA, 900 3-Digit ZCTA",42383,10836,2950,318,18289,35,7978,1977
8600000US90021,90021,"90021 5-Digit ZCTA, 900 3-Digit ZCTA",3003,806,827,42,157,5,998,168
8600000US90022,90022,"90022 5-Digit ZCTA, 900 3-Digit ZCTA",68688,28409,348,899,504,39,35365,3124
8600000US90023,90023,"90023 5-Digit ZCTA, 900 3-Digit ZCTA",47468,18569,203,524,342,31,25794,2005
8600000US90024,90024,"90024 5-Digit ZCTA, 900 3-Digit ZCTA",44141,28450,938,70,10726,70,1479,2408
8600000US90025,90025,"90025 5-Digit ZCTA, 900 3-Digit ZCTA",41170,27209,1280,248,6949,55,3177,2252
8600000US90026,90026,"90026 5-Digit ZCTA, 900 3-Digit ZCTA",73671,26674,1945,850,13738,86,26248,4130
8600000US90027,90027,"90027 5-Digit ZCTA, 900 3-Digit ZCTA",48715,30167,1832,240,6154,70,6103,4149
8600000US90028,90028,"90028 5-Digit ZCTA, 900 3-Digit ZCTA",30562,16951,2307,232,2311,60,6583,2118
8600000US90029,90029,"90029 5-Digit ZCTA, 900 3-Digit ZCTA",41697,15992,1168,414,6171,50,14753,3149
8600000US90031,90031,"90031 5-Digit ZCTA, 900 3-Digit ZCTA",38409,11115,351,460,9779,45,15032,1627
8600000US90032,90032,"90032 5-Digit ZCTA, 900 3-Digit ZCTA",46942,16703,1142,646,5552,42,20520,2337
8600000US90033,90033,"90033 5-Digit ZCTA, 900 3-Digit ZCTA",49418,16574,741,572,1786,45,27419,2281
8600000US90034,90034,"90034 5-Digit ZCTA, 900 3-Digit ZCTA",58199,26929,8778,392,9263,153,9204,3480
8600000US90035,90035,"90035 5-Digit ZCTA, 900 3-Digit ZCTA",27792,20001,3508,90,1490,23,948,1732
8600000US90036,90036,"90036 5-Digit ZCTA, 900 3-Digit ZCTA",32885,23022,2391,87,5379,16,841,1149
8600000US90037,90037,"90037 5-Digit ZCTA, 900 3-Digit ZCTA",56691,11633,17072,584,295,40,24534,2533
8600000US90038,90038,"90038 5-Digit ZCTA, 900 3-Digit ZCTA",32557,13750,1493,285,2622,37,11992,2378
8600000US90039,90039,"90039 5-Digit ZCTA, 900 3-Digit ZCTA",29306,14472,743,228,5591,44,6656,1572
8600000US90040,90040,"90040 5-Digit ZCTA, 900 3-Digit ZCTA",9798,4519,57,166,133,10,4486,427
8600000US90041,90041,"90041 5-Digit ZCTA, 900 3-Digit ZCTA",27864,13429,630,242,7123,42,4738,1660
8600000US90042,90042,"90042 5-Digit ZCTA, 900 3-Digit ZCTA",64660,26397,1974,874,7956,108,23537,3814
8600000US90043,90043,"90043 5-Digit ZCTA, 900 3-Digit ZCTA",44761,3763,32387,153,343,28,6307,1780
8600000US90044,90044,"90044 5-Digit ZCTA, 900 3-Digit ZCTA",87366,14867,39706,594,326,202,28071,3600
8600000US90045,90045,"90045 5-Digit ZCTA, 900 3-Digit ZCTA",39315,24118,6580,156,3687,171,2578,2025
8600000US90046,90046,"90046 5-Digit ZCTA, 900 3-Digit ZCTA",49831,42732,1716,152,2077,50,1394,1710
8600000US90047,90047,"90047 5-Digit ZCTA, 900 3-Digit ZCTA",47105,3969,34495,225,226,61,6879,1250
8600000US90048,90048,"90048 5-Digit ZCTA, 900 3-Digit ZCTA",21724,18691,496,48,1168,15,335,971
