bid,selname
341,"ACTON-STERLING,I"
341,"ACTON-STERLING,INVS"
341,ACTON-STERLING INVESTORS-II
381,ALAMADEN MEADOWS ASSOC LP
381,ALMADEN M ASSOCIATES LP
381,ALMADEN ASSOCIATES LP
381,ALAMEDA MORTGAGE
381,ALMADEN MEADOWS ASSOC LP
381,ALMADEN MEADOWS ASSOCIATES INC
381,ALAMDEN MEADOWS ASSOC LP
381,ALMDEN MEADOWS ASSOC LP
381,ALAMADEN MEADOW ASSOCIATES LP
381,ALMDEN MEADOWS ASSOCIATES
381,ALMADEN MEAODOWS ASSOC LP
381,ALMADEN MEADOWS ASSOC
381,AOLMADEN MEADOWS ASSOCIATES LP
381,ALMADEN MEADOWS ASSOCIATES
381,ALMADEN MEADOWS ASSOCIATES LP
381,ALAMDEN MEAODOWS ASSOC LP
401,ARIEL HOMES CORP ROYAL LAKES
401,ARIEL HOMES CORP
401,ARIEL HOMES CORPORATION OF ROY
401,ARIEL HOMES CORPORATION
401,ARIEL HOMES CORP OF ROYAL LAKE
403,ARIEL HOMES CORP OF ROYAL LAKE
403,ARIEL HOMES CORP ROYAL LAKES
403,ARIEL HOMES CORPORATION
403,ARIEL HOMES CORP
403,ARIEL HOMES CORPORATION OF ROY
439,ANTIOCH VALLEY ASSOCIATES LP
439,ANTIOCH VALLEY ASSOCIATES
439,ANTIOCH VALLEY ASSOC
439,ANTIOCH VALLEY A
439,ANTIOCH VALLEY ASSOC LP
448,AKINS GDC LAGUNA
448,AKINS G D C LAGU
448,AKINS GDC LAGUAN
448,AKINS GDC LAUGNA
448,AKINS G D C
448,AKINS CDG LAGUNA
448,AKINS GDC LAG NA
448,AKINS GDC LAGU
493,AHMANSON DEVELOPMENT INC
493,AHMANSON DEVELOPMENTS INC
493,AHMANSON DEVELOPMENTS INCORPOR
493,AHMANSON DEVELOPMETNS INC
493,AHMANSON DEVELOPMENTS
495,A M HOMES
495,A-M HOMES
495,AM HOMES LP
495,AM HOMES
495,A-M HOMES LP
496,AM HOMES
496,A-M HOMES LP
496,A-M HOMES INC
496,A M HOMES
496,A-M HOMES
496,A&M HOMES LP
496,A-M HOMES LIMITED
496,AM HOMES LP
496,AM HOMES CORP
499,A-M HOMES LP
499,AM HOMES LP
499,A-M HOMES INC
499,AM HOMES
499,A-M HOMES
499,A M HOMES
516,A-M HOMES/PLACIO
516,A-M HOMES/PALACITO LP
516,A-M HOMES\PALACIO LP
516,AM HOMES/PALACIO
516,AM HOMES PALACIO
516,A-M HOMES/PALACI
516,A-M HOMES/PALACIO LP
516,A M HOMES
516,A M HOMES PALACIO LP
520,CHICAGO CITY BK & TR CO TTEE
520,CHCIAGO CITY BK&TR CO TRUSTEE
520,CHICAGO CITY BANK & TRUST TTEE
520,CHICAGO CITY BANK & TR CO TTEE
520,CHICAGO CITY BK&TR TRUSTEE
520,CHCIAGO CITY BANK & TRUST TTEE
520,CHICAGO CITY BK & TRT CO TTEE
573,"ADELFA,OCASO"
573,"ADELFA,OCASO PAR"
573,ADELFA OCASO PAR
573,ADELFA OCASO
573,"ADELFA,ACASO PAR"
579,ATLANTIC VILLAGE INVESTORS
579,ATLANTIC VILLAGE LP
579,ATLANTIC VILLAGE IVESTORS LP
579,ATLANTIC VILLAGE INVESTOR LP
579,ATLANTIC VILLAGE INVS LP
579,ATLANTIC VILLAGE INVESTORS LP
579,ATLANTIC VILLAGE INESTORS LP
606,BELLAGIO BY LEVITT & SONS LLC
606,BELLAGGIO OF LEVITT & SONS LLC
606,BELLAGGIO BY ANSCA INC
606,BELLAGIO BY ANSCA INC
606,BELLAGGIO BY LEVITT & SONS LLC
608,BELLAGIO BY LEVITT & SONS LLC
608,BELLAGGIO BY ANSCA INC
608,BELLAGGIO BY LEVITT & SONS
608,BELAGGIO BY LEVITT & SONS LLC
608,BELLAGIO BY ANSCA INC
608,BELLAGGIO BY LEVITT & SONS LLC
636,BAYFAIR ASSOCIATES LTD
636,BAYFAIR ASSOCIAT
636,BAYFAIR ASSICUATES
636,BAYFAIR ASSOCIATES
636,BAYFAIR ASSOC LT
636,BAYFAIR ASSOC
663,CONCORD AT THE GLEN LLC
663,CONCORD ATGLEN  LLC
663,CONCORD ATGLEN LLC
663,CONCORD AT THE GLEN
663,CONCORD GLEN LLC
711,CONSTRUCTION MANAGEMENT INDUST
711,CONSTRUCTION MGMT INDUSTRIES
711,CONSTRUCTION MGMT IND INC
711,CONSTRUCTION MANAGEMENT INDUS
711,CONSTRUCTION MANAGEMENT IND
711,CONSTRUCTION MGMNT INDUSTRIES
716,ALPIN PROPERTIES INC
716,ALPINE PARTNERS
716,ALPIN INVESTMENTS INC
716,ALPIN PARTNERS
716,ALPIN PARTNERS INC
741,BUENA VISTA HMS OF PALM BEACHES I
741,BUENA VISTA HOMES PALM BEACH
741,BUENA VISTA HOMES OF THE PALM
741,BUENA VISTA HOMES PALM BEACHES
741,BUENA VISTA DEVELOPMENT LLC
760,BINKS ESTATES L P
760,BINKS ESTATES LTD PARTNERSHIP
760,BINKS ESTATES LTD PARTNERSHP
760,BINKS ESTATES LP
760,BINKS ESTATES LIMITED PARTNERS
791,ALPER/HUNTERS RIDGE HOMES INC
791,ALPHER/HUNTER RIDGE HOMES
791,ALPER/HUNTER'S RIDGE HOMES
791,ALPHER/HUNTER'S RIDGE HOMES
791,ALPER HUNTERS RIDGE HOMES INC
791,ALPER/HUNTER'S RIDGE HOME INC
791,ALPER/HUNTER'S RIDGE HOMES INC
791,ALPER/HUNTERS RIDGE HOMES
791,ALPER/HHUNTERS RIDGE HOMES
791,ALPER HUNTERS RIDGHE HOMES INC
798,CROSSINGS OF WEST VALLEY-MEDINA C
798,CROSSINGS AT WEST VALLEY
798,CROSSINGS AT WEST VALLEY LLC
798,CROSSINGS AT WESTVALLEY LLC
798,CROSSINGS OF WEST VALLEY MEDINA C
800,CROSSING BUILDING CO
800,CROSSING BUILDING CO LLC
800,CROSSINGS BUILDING CO LTD
800,CROSSINGS BUILDINGS CO LTD
800,CROSSING BUILDINGS CO LTD
800,CROSSING BUILDING CO LTD
801,CROSSINS BUILDINGS CO
801,CROSSING BUILDING CO LTD
801,CROSSINGS BUILDINGS CO LTD
801,CROSSINGS BUILDING CO
801,CROSSING BUILDINGS CO LTD
801,CROSSINGS BUILDING CO LTD
801,CROSSING BUILDING CO
804,"CROSSINGS,A"
804,CROSSINGS AT NORTHWEST COUNTY
804,CROSSINGS AT NORTHWEST-SUMMIT
804,"CROSSINGS,OF NORTHWEST-SUMMIT CNT"
804,CROSSINGS OF NORTHWEST-SUMMIT CNT
804,CROSSINGS AT NORTHWEST SUMMIT
804,CROSSINGS NW SUMMIT COUNTY LLC
804,CROSSING AT NORTHWEST SUMMIT C
804,CROSSING AT NORTHWEST SUMMIT
804,CROSSINGS AT NORWEST-SUMMIT
804,CROSSINGS AT NORTH-SUMMIT CNTY
804,CROSSINGS AT NORTWEST SUMMIT
804,CROSSING AT NORTHWEST-SUMMIT
804,CROSSINGS AT NORTWEST-SUMMIT
804,CORSSING AT NORTHWEST SUMMIT
810,BOYNTON BEACH ASSOCIATES X LLL
810,BOYNTON BEACH ASSOCS XVII LLLP
810,BOYNTON BEACH ASSOCS X LLLP
810,BOYNTON BEACH ASSOCIATES X LLP
810,BOYNTON BCH ASSOCIATES X LLLP
830,BAYSHORE HESTOR ASSN
830,BAYSHORE-HESTER ASSOC
830,BAYSHORE-HESTER ASSN
830,BAYSHORE-HESTER ASSOIATES
830,BAYSHORE-HESTER ASSOCIATES
849,ALEXANDER / CATANIA DEV
849,ALEXANDER/CATALINA DEVELOPMENT
849,ALEXANDER/CATANIA DEV INC
849,ALEXANDER CATANIA DEVELOPMENT
849,ALEXANDER/CATANIA DEVELOPMENT
879,BRIGHTON WELLINGTON LC
879,BRIGHTON AT WILINGTON LC
879,BRIGHTON AT WELLINGON LC
879,BRIGHTON AT WELLINGTON L C
879,BRIGHTON AT WELLINGTON LC
879,BRIGHTON AT WELLINGTON
879,BRIGHTON AT WELLINGTON LLC
879,BRIGHTON OF WELLINGTON LLC
882,"ALDA,AVANTE"
882,"ALDA,AVANTE ASSC"
882,ALDA-AVANTE ASSO
882,"ALDA,AVANTE ASOC"
882,ALDA AVANTE
882,"ALDA,AVENTE ASSO"
882,ALDA AVANTE LP
882,ALDA AVENTE ASSN
882,ALDA AVANTE ASSO
890,ALTA LOMA ONE & TWO
890,ALTA LOMA ONE
890,ALTA LOMA LP ESTATE
890,ALTA LOAN ONE & TWO
890,ALTA LOMA ONE AND TWO
890,ALTA LONA ONE & TWO
892,DESIGN CONST SERVICES INC
892,DESIGN CONSTRUCTION SERVICES I
892,DESIGN CONSTRUCTION SRVCS INC
892,DESIGN CONSTRUCTION SCVS INC
892,DESIGN CONSTRUCTION SVCS INC
892,DESIGN CONSTRUCTION SERVICES
913,BUTLER STELLAR CORPORATION
913,BUTLER STELIAR CORP
913,BUTLER STELLER CORP
913,BUTLER STELLAR CORP
913,BUTLER STELLER
967,BLACKHAWK/NUNN ACTIVE ADULT CO
967,BLACKHAWK/NUNN
967,BLACKHAWK NUNN ACTIVE ADULT CO
967,BLACKHAWK/NUNN ACTIVE ADULT
967,BLACKHAWK NUNN PARTNERS
968,BLACKHAWK/NUNN ACTIVE ADULT CO
968,BLACKHAWK/NUNN ACTIVE ADULT
968,BLACKHAWK NUNN ACTIVE
968,BLACKHAWK NUNN ACTIVE ADULT
968,BLACKHAWK-NUNN ACTIVE ADULT CO
968,BLACKHAWK NUNN ACTIVE ADULT CO
968,BLACKHAWK NUNN PARTNERS
968,BLACKHAWK/NUNN
968,BLACKHAWK NUNN
970,BLACKHAWK NUNN ACTIVE ADULT CO
970,BLACKHAWK/LYNN ACTIVE ADULT CO
970,BLACKHAWK-NUNN A
970,BLACKHAWK NUNN
970,BLACKHAWK NUNN A
970,BLACKHAWK/NUNN
970,BLACKHAWK/NUN ACTIVE ADULT COM
970,BLACKHAWK/NUNN ACTIVE ADULT CO
970,BLACKHAWK/NUNN A
970,BLACKHAWK/NUNN ACTIVE ADULT
976,BLACK DIAMOND KNOLLS LTD
976,BLACK DIAMOND KNOLLS LP
976,BLACK DIAMONDKNOLLS LTD
976,BLACK DIAMOND KNOLLIS LTD
976,BLACK DIAMOND KNOLL LTD
976,BLACK DIAMOND KNOLLS LIMITED
976,BLACK DIMOND KNOLLS LIMITED
976,BLACK DOAMOND KNOLLS LTD LP
976,BLACK DIAMOND KNOLL LT
976,BLACK DIAMOND KNOLLS LTD LP
977,BLACK DIAMONDS KNOLLS LTD
977,BALCK DIAMOND KNOLLS LTD
977,BLACK DIAMOND KNOLLS LIMITED
977,BLACK DIAMOND KNOLL LTD
977,BLACK DIAMOND KNOLLS LTD
977,BLACK DIABOND KNOLLS LIMITED
977,".,BLACK DIAMOND KNOLLIS LTD"
977,BLACK DIAMOND KNOLLS LP
1076,AMBERHILL ESTATES LLC
1076,AMBERH
1076,AMBERHILL CREST LLC
1076,AMBERHILL ESTATE LLC
1076,AMBERHILL
1078,AMBERHILL WEST LLC
1078,AMBERHILL
1078,AMBERHILL ESTATES WEST LLC
1078,AMBERHILL EAST LLC
1078,AMBERHILL ESTATE LLC
1078,AMBERHILL ESTATES LLC
1101,ANASTASI CONSTRU
1101,ANASTASI CONST
1101,ANASTASI TRUST
1101,ANAST
1101,"ANASTASI,LLOYD R"
1130,E T DEVELOPMENT ENTERPRISES IN
1130,E T DEVELOPMENT ENTERPRISE INC
1130,E T DEVELOPMENT ENTERPRISE IN
1130,E T DEVELOPMENT ENTERPRISES
1130,E T DEV ENTERPRISES INC
1130,ET DEVELOPMENT ENTERPRISES INC
1130,E T DEVELOPMENT ENTP INC
1138,AMCAL GOLDEN FUNDXXVIII
1138,AMCAL GOLDEN FUND XXCIII
1138,AMCAL GOLDEN FUND XXVIII LP
1138,AMCAL GOLDEN FND XXVIII
1138,AMCAL GOLDEN FUND XXVIII
1138,AMCAL GOLDEN FUND
1173,AMCAL ROYAL OAKS FUND
1173,AMCAL ROYAL OAKS FUND XXIX
1173,AMCAL ROYAL OAKS FUND XXXII
1173,AMCAL OAKS FUND
1173,AMCAL ROYAL OAKS
1183,FIRST BANK & TRUST CO TRUSTEE
1183,FIRST BANK & TRUST CO IL TTEE
1183,FIRST BANK & TRUST ILLIN TTEE
1183,FIRST BK & TRT ILLINOIS TTEE
1183,FERRIS AT STONEGATE
1183,FIRST BNAK & TRUST CO IL TTEE
1183,FIRST BK & TRT CO OF IL TTEE
1183,FERRIS AT STONEGATE LP
1183,FIRST BANK & TRUST CO TTEE
1187,FIRST MIDWEST BANK OF JOLIET
1187,FIRST MIDWEST BANK TRUSTEE
1187,FIRST MIDWEST BANK JOLIET TTEE
1187,FIRST MIDWEST BANK
1187,FIRST MIDWEST BANK TTEE
1189,FIRST STATE BANK & TRUST TTEE
1189,FIRST MIDWEST BANK TRUSTEE
1189,FIRST UNITED BANK TTEE
1189,FIRST UNITED BANK
1189,FIRST UNITED BANK TRUSTEE
1190,FIRST NAT'L BK BLUE ISLAND TTE
1190,FIRST NATL BANK B/ISLAND TTEE
1190,FIRST NAT'L BANK BLUE ISL TTEE
1190,FIRST NAT'L BANK BLUE ISLAND
1190,FIRST NATL BK BLUE ISLAND TTEE
1190,FIRST NATIONALBK BLUE IL TTEE
1198,FIRST NAT'L BANK ILLINOIS TTEE
1198,FIRST NATIONAL BANK IL TRUSTEE
1198,FIRST NATL BANK ILLINOIS TTEE
1198,FIRST NAT'L BK OF IL TRUSTEE
1198,FIRST NAT'L BK ILLINOIS TTEE
1198,FIRST NATIONAL BANK IL TTEE
1202,FIRST UNITED BANK TRUSTEE
1202,FIRST MIDWSET TRT CO NA TTEE
1202,FIRST MIDWEST TR CO NA TTEE
1202,FIRST MIDWEST BANK TRUSTEE
1202,FIRST MIDWEST TRUST CO TTEE
1202,FIRST MIDWEST TRUST CO NA TTEE
1203,FIRST MIDWEST BK JOLIET TTEE
1203,FIRST MIDWEST TRUST CO TTEE
1203,FIRST MIDWEST TRUST CO TRUSTEE
1203,FIRST MIDWEST BANK TTEE
1203,FIRST MIDWEST TR CO NA TRUSTEE
1203,FIRST MIDWEST TRUST CO NA TTEE
1203,FIRST MIDWEST BANK TRUSTEE
1206,FIRST NAT'L BANK OF IL TTEE
1206,FIRST NATIONAL BANK IL TTEE
1206,FIRST NAT'L BANK OF IL TRUSTEE
1206,FIRST NATIONAL BANK ILLINOIS
1206,FIRST NAT'L BANK ILLINOIS TTEE
1206,FIRST NATIONAL BK ILLINOIS TTE
1206,FIRST NATL BANK ILLINOIS TTEE
1212,CYPRESS LAKE EST-LAKE WORTH LP
1212,CYPRESS LAKE ESTATES LAKE WORT
1212,CYPRESS LAKE ESTS-LAKE WORTH
1212,CYPRESS LAKE ESTATE-LAKE WORTH
1212,CYPRESS LAKE ESTATES-LAKE WORT
1212,CYPRESS LAKE ESTS-LAKE WORTH L
1212,CYPRESS LAKES ESTATES-LAKE WOR
1212,CYPRESS LAKES ESTS
1213,CYPRESS LAKE ESTATES
1213,CYPRESS LAKE ESTATES-LAKE WORT
1213,CYPRESS LAKES ESTATES
1213,CYPRESS LAKE ESTATES LAKE WORT
1213,CYPRESS LAKE ESTATES-LAKEWORTH
1225,ANDLY DEVELOPMEN
1225,ANDLY DEV CO
